id,name,lat,lng
1,Tokyo,35.6839,139.7744
2,Jakarta,-6.2146,106.8451
3,Delhi,28.6667,77.2167
4,Manila,14.6,120.9833
5,Sao Paulo,-23.5504,-46.6339
6,Seoul,37.56,126.99
7,Mumbai,19.0758,72.8775
8,Shanghai,31.1667,121.4667
9,Mexico name,19.4333,-99.1333
10,Guangzhou,23.1288,113.259
11,Cairo,30.0444,31.2358
12,Beijing,39.904,116.4075
13,New York,40.6943,-73.9249
14,Kolkata,22.5727,88.3639
15,Moscow,55.7558,37.6178
16,Bangkok,13.75,100.5167
17,Dhaka,23.7289,90.3944
18,Buenos Aires,-34.5997,-58.3819
19,Osaka,34.752,135.4582
20,Lagos,6.45,3.4
21,Istanbul,41.01,28.9603
22,Karachi,24.86,67.01
23,Kinshasa,-4.3317,15.3139
24,Shenzhen,22.535,114.054
25,Bangalore,12.9791,77.5913
26,Ho Chi Minh name,10.8167,106.6333
27,Tehran,35.7,51.4167
28,Los Angeles,34.1139,-118.4068
29,Rio de Janeiro,-22.9083,-43.1964
30,Chengdu,30.66,104.0633
31,Baoding,38.8671,115.4845
32,Chennai,13.0825,80.275
33,Lahore,31.5497,74.3436
34,London,51.5072,-0.1275
35,Paris,48.8566,2.3522
36,Tianjin,39.1467,117.2056
37,Linyi,35.0606,118.3425
38,Shijiazhuang,38.0422,114.5086
39,Zhengzhou,34.7492,113.6605
40,Nanyang,32.9987,112.5292
41,Hyderabad,17.3617,78.4747
42,Wuhan,30.5872,114.2881
43,Handan,36.6116,114.4894
44,Nagoya,35.1167,136.9333
45,Weifang,36.7167,119.1
46,Lima,-12.06,-77.0375
47,Zhoukou,33.625,114.6418
48,Luanda,-8.8383,13.2344
49,Ganzhou,25.8292,114.9336
50,Tongshan,34.261,117.1859
51,Kuala Lumpur,3.1478,101.6953
52,Chicago,41.8373,-87.6862
53,Heze,35.2333,115.4333
54,Chongqing,29.55,106.5069
55,Hanoi,21.0245,105.8412
56,Fuyang,32.8986,115.8045
57,Changsha,28.1987,112.9709
58,Dongguan,23.0475,113.7493
59,Jining,35.4,116.5667
60,Jinan,36.6667,116.9833
61,Pune,18.5196,73.8553
62,Foshan,23.0292,113.1056
63,Bogota,4.6126,-74.0705
64,Ahmedabad,23.03,72.58
65,Nanjing,32.05,118.7667
66,Changchun,43.9,125.2
67,Tangshan,39.6292,118.1742
68,Cangzhou,38.3037,116.8452
69,Dar es Salaam,-6.8,39.2833
70,Hefei,31.8639,117.2808
71,Hong Kong,22.3069,114.1831
